OBJECTID,COUNTYFP,GEOID,CZ,POPe,HHe,CHILDe,CHILDi,CHILDz,CHILDp,CHILDq,SPHWCe,SPHWCi,SPHWCz,SPHWCp,SPHWCq,ELDERHHe,ELDERHHi,ELDERHHz,ELDERHHp,ELDERHHq,ELDERHHPVe,ELDERHHPVi,ELDERHHPVz,ELDERHHPVp,ELDERHHPVq,PTDe,PTDi,PTDz,PTDp,PTDq,HUNOVELe,HUNOVELi,HUNOVELz,HUNOVELp,HUNOVELq,VACHUe,VACHUi,VACHUz,VACHUp,VACHUq,RENTERe,RENTERi,RENTERz,RENTERp,RENTERq,NONWHITEe,NONWHITEi,NONWHITEz,NONWHITEp,NONWHITEq,GQe,GQi,GQz,GQp,GQq,YEAR20e,YEAR20i,YEAR20z,YEAR20p,YEAR20q,MOBILEe,MOBILEi,MOBILEz,MOBILEp,MOBILEq,POPVe,POPVi,POPVz,POPVp,POPVq,NOHSe,NOHSi,NOHSz,NOHSp,NOHSq,UNEMPe,UNEMPi,UNEMPz,UNEMPp,UNEMPq,SPENWe,SPENWi,SPENWz,SPENWp,SPENWq,RENTBURDN30e,RENTBURDN30i,RENTBURDN30z,RENTBURDN30p,RENTBURDN30q,NOINTNETe,NOINTNETi,NOINTNETz,NOINTNETp,NOINTNETq,MEDHVALe,MEDHVALz,MEDHVALp,MEDHVALq,CHILDCAREr,ELDERCAREr,TRANSNEEDr,SHELTNEEDr,CIVICCAPr,SVIr,CHILDCAREp,ELDERCAREp,TRANSNEEDp,SHELTNEEDp,CIVICCAPp,SVIp,CHILDCAREq,ELDERCAREq,TRANSNEEDq,SHELTNEEDq,CIVICCAPq,SVIq,CHILDCAREc,ELDERCAREc,TRANSNEEDc,SHELTNEEDc,CIVICCAPc,SVIc,Shape__Area,Shape__Length
5226,48201,48201322600,9,5385,1593,323,5.998,-0.213,0.453,2,225,14.124,0.248,0.648,3,336,21.092,-0.073,0.496,4,38,2.385,-0.143,0.589,4,0,0,-0.456,0,1,8,0.502,-0.785,0.181,1,133,7.706,-0.35,0.432,3,1071,19.985,0.303,-0.647,2,4154,77.14,0.713,0.689,3,26,0.483,-0.174,0.741,5,1661,96.234,0.986,0.87,5,5,0.29,-0.572,0.453,4,847,15.729,0.06,0.623,3,1155,36.264,1.406,0.887,5,275,11.397,1.367,0.917,5,629,12.426,0.616,0.804,4,235,55.425,0.718,0.775,4,77,4.834,-0.736,0.291,2,116000,-0.477,0.33,2,0.551,0.543,0.091,0.452,0.725,0.532,0.573,0.559,0.118,0.592,0.816,0.565,3,4,1,3,4,3,3,4,1,4,4,3,3313378.9921875,9125.80476546101
5227,48201,48201310700,9,4679,1594,315,6.732,0,0.546,3,203,12.735,0.078,0.591,3,548,34.379,1.047,0.858,5,23,1.443,-0.396,0.456,3,85,4.63,1.135,0.917,4,171,10.728,0.837,0.842,4,178,10.045,-0.1,0.554,4,2335,50.905,0.763,0.6,4,3719,79.483,0.796,0.712,3,92,1.966,-0.014,0.852,5,1708,96.388,0.992,0.874,5,0,0,-0.596,0,1,1499,32.25,1.406,0.902,5,953,30.831,1.019,0.836,4,38,1.983,-0.774,0.2,1,1044,23.923,1.927,0.936,5,389,55.492,0.722,0.777,4,592,37.139,2.046,0.956,5,329200,0.813,0.864,5,0.569,0.657,0.88,0.642,0.732,0.78,0.6,0.697,0.929,0.851,0.825,0.922,3,5,5,4,4,5,3,4,5,5,4,5,2627203.37109375,7163.52920400286
5228,48201,48201231200,9,6943,2569,442,6.366,-0.106,0.497,3,666,25.924,1.694,0.938,5,799,31.102,0.771,0.789,5,135,5.255,0.625,0.82,5,172,6.307,1.712,0.947,5,311,12.106,1.056,0.871,5,233,8.315,-0.285,0.466,3,3478,50.377,0.759,0.579,4,6545,94.268,1.322,0.884,4,39,0.562,-0.166,0.752,5,1834,65.453,-0.179,0.33,2,0,0,-0.596,0,1,1414,20.457,0.445,0.734,4,932,20.72,0.301,0.691,3,485,15.09,2.208,0.967,5,451,6.937,-0.011,0.672,3,650,49.392,0.413,0.656,3,474,18.451,0.437,0.716,4,84100,-0.67,0.184,1,0.718,0.805,0.909,0.535,0.762,0.836,0.791,0.868,0.947,0.716,0.856,0.964,4,5,5,4,4,5,4,5,5,4,5,5,18638750.6835938,21428.1811241633
5229,48201,48201222100,9,5437,1382,419,7.706,0.282,0.653,3,363,26.266,1.736,0.942,5,205,14.834,-0.601,0.29,3,58,4.197,0.342,0.76,5,0,0,-0.456,0,1,79,5.716,0.042,0.659,3,145,9.496,-0.159,0.525,3,1898,35.116,0.57,-0.037,3,5062,93.103,1.28,0.868,4,32,0.589,-0.163,0.755,5,1505,98.559,1.074,0.938,5,91,5.959,-0.113,0.685,5,2337,43.158,2.295,0.968,5,1819,54.363,2.692,0.984,5,113,5.054,-0.076,0.56,3,1998,39.817,3.741,0.992,5,403,84.486,2.19,0.983,5,647,46.816,2.879,0.989,5,86800,-0.653,0.199,1,0.798,0.525,0.33,0.672,0.881,0.733,0.874,0.532,0.41,0.883,0.966,0.869,5,4,2,4,5,4,5,4,2,5,5,5,3040118.87109375,7954.13731903722
5230,48201,48201222200,9,3301,1304,111,3.363,-0.978,0.142,1,183,14.034,0.237,0.643,3,392,30.061,0.683,0.762,5,178,13.65,2.873,0.98,5,0,0,-0.456,0,1,296,22.699,2.736,0.976,5,171,11.593,0.065,0.626,4,1656,50.167,0.758,0.57,4,2977,90.185,1.176,0.824,4,0,0,-0.226,0,1,1321,89.559,0.733,0.714,4,71,4.814,-0.206,0.663,5,1107,33.535,1.511,0.913,5,997,41.369,1.769,0.929,5,74,4.734,-0.148,0.528,3,762,23.887,1.923,0.936,5,368,43.345,0.107,0.529,3,491,37.653,2.09,0.96,5,102400,-0.559,0.273,2,0.393,0.871,0.488,0.616,0.838,0.732,0.343,0.929,0.635,0.822,0.933,0.868,2,5,3,4,5,4,2,5,3,4,5,5,4012808.00390625,8625.07549489781
5231,48201,48201222300,9,5134,1404,602,11.726,1.449,0.923,5,348,24.786,1.555,0.923,5,270,19.231,-0.23,0.432,3,71,5.057,0.572,0.812,5,0,0,-0.456,0,1,21,1.496,-0.628,0.303,2,68,4.62,-0.679,0.254,2,1624,31.713,0.518,-0.174,2,4789,93.28,1.286,0.87,4,13,0.253,-0.199,0.695,4,1365,92.731,0.853,0.782,4,488,33.152,2.091,0.946,5,1327,25.913,0.89,0.823,4,1380,47.967,2.238,0.964,5,31,1.518,-0.88,0.149,1,1570,34.643,3.15,0.985,5,180,45.802,0.231,0.582,3,478,34.046,1.78,0.939,5,84500,-0.667,0.185,1,0.923,0.622,0.152,0.599,0.759,0.692,0.969,0.651,0.19,0.799,0.853,0.816,5,4,1,4,4,4,5,4,1,4,5,4,6671115.01953125,13326.7926496494
5232,48201,48201211900,9,5247,1633,587,11.187,1.293,0.903,5,226,13.84,0.213,0.636,3,532,32.578,0.895,0.822,5,76,4.654,0.464,0.791,5,18,1.087,-0.083,0.7,3,17,1.041,-0.7,0.25,2,148,8.31,-0.285,0.465,3,2615,49.838,0.754,0.557,4,5135,97.865,1.449,0.948,5,0,0,-0.226,0,1,1673,93.936,0.899,0.81,4,6,0.337,-0.569,0.456,4,1736,33.455,1.504,0.913,5,1447,45.69,2.076,0.955,5,167,9.161,0.859,0.853,4,1172,25.15,2.067,0.946,5,325,55.366,0.715,0.774,4,322,19.718,0.546,0.743,4,81900,-0.683,0.174,1,0.77,0.807,0.475,0.593,0.874,0.818,0.848,0.87,0.62,0.792,0.961,0.952,4,5,3,4,5,5,5,5,3,4,5,5,1661821.95703125,5400.20945858967
5233,48491,48491020405,27,7244,2524,771,10.643,1.135,0.878,5,292,11.569,-0.065,0.536,4,403,15.967,-0.506,0.327,3,44,1.743,-0.315,0.502,4,10,0.267,-0.364,0.567,4,114,4.517,-0.148,0.586,5,243,8.782,-0.235,0.491,4,5292,73.054,0.9,1.494,5,3197,44.133,-0.461,0.373,3,0,0,-0.226,0,1,2567,92.772,0.855,0.783,5,0,0,-0.596,0,1,418,5.77,-0.751,0.246,3,638,13.988,-0.178,0.541,5,212,5.312,-0.017,0.588,4,278,4.295,-0.312,0.551,4,575,35.604,-0.285,0.364,2,80,3.17,-0.879,0.215,3,249700,0.332,0.757,3,0.707,0.415,0.577,0.484,0.474,0.598,0.777,0.397,0.704,0.639,0.474,0.677,5,4,5,5,5,5,5,3,4,4,4,5,4164287.93359375,14536.6960518182
5234,48439,48439111022,102,5951,1719,446,7.495,0.221,0.632,4,232,13.496,0.171,0.623,3,307,17.859,-0.346,0.389,3,33,1.92,-0.268,0.526,4,0,0,-0.456,0,1,0,0,-0.865,0,1,0,0,-1.171,0,1,1184,19.896,0.301,-0.651,2,3499,58.797,0.06,0.519,3,0,0,-0.226,0,1,340,19.779,-1.907,0.074,1,0,0,-0.596,0,1,454,7.647,-0.598,0.334,3,135,4.049,-0.885,0.197,2,179,5.568,0.041,0.613,4,51,0.926,-0.696,0.231,1,96,29.179,-0.611,0.246,1,80,4.654,-0.751,0.283,2,162300,-0.197,0.521,2,0.628,0.458,0,0.039,0.331,0.294,0.683,0.449,0,0.082,0.255,0.154,4,3,1,1,2,2,4,3,1,1,2,2,8551379.03125,14370.8606473332
5235,48439,48439111019,102,4896,1439,407,8.313,0.458,0.714,4,174,12.092,-0.001,0.563,3,187,12.995,-0.756,0.236,2,7,0.486,-0.652,0.279,2,0,0,-0.456,0,1,45,3.127,-0.369,0.473,3,228,13.677,0.287,0.712,5,1555,32.477,0.53,-0.143,3,3914,79.943,0.812,0.716,5,108,2.206,0.012,0.866,5,999,59.928,-0.388,0.278,2,0,0,-0.596,0,1,397,8.292,-0.546,0.36,3,1034,33.004,1.174,0.858,5,230,9.005,0.823,0.848,5,699,15.571,0.974,0.853,5,121,30.25,-0.556,0.267,1,52,3.614,-0.841,0.236,2,142500,-0.317,0.435,2,0.639,0.258,0.237,0.398,0.699,0.501,0.698,0.227,0.288,0.507,0.786,0.511,4,2,2,3,5,3,4,2,3,4,5,4,8524571.609375,15437.9579313546
5236,48439,48439111318,102,5965,1992,212,3.554,-0.922,0.16,1,129,6.476,-0.689,0.276,2,284,14.257,-0.65,0.274,2,57,2.861,-0.016,0.641,4,0,0,-0.456,0,1,16,0.803,-0.738,0.22,2,346,14.799,0.406,0.749,5,1183,19.832,0.3,-0.654,2,1277,21.408,-1.269,0.125,1,0,0,-0.226,0,1,1417,60.607,-0.362,0.284,2,540,23.097,1.276,0.883,5,511,8.567,-0.523,0.374,3,496,12.579,-0.278,0.5,3,296,11.522,1.396,0.92,5,57,0.991,-0.689,0.241,2,69,17.122,-1.221,0.117,1,125,6.275,-0.612,0.35,3,224500,0.179,0.703,4,0.218,0.458,0.11,0.252,0.503,0.308,0.141,0.449,0.139,0.292,0.517,0.175,1,3,1,2,4,2,1,3,2,2,4,2,26058012.3828125,21018.9296596244
5237,48439,48439111554,102,4260,1287,146,3.427,-0.959,0.148,1,82,6.371,-0.702,0.272,2,115,8.936,-1.099,0.136,1,0,0,-0.782,0,1,0,0,-0.456,0,1,0,0,-0.865,0,1,96,6.941,-0.431,0.389,3,888,20.845,0.32,-0.613,2,3214,75.446,0.652,0.672,4,0,0,-0.226,0,1,1136,82.14,0.453,0.573,3,0,0,-0.596,0,1,283,6.682,-0.677,0.29,2,363,13.114,-0.24,0.518,4,11,0.432,-1.127,0.061,1,163,3.962,-0.35,0.531,3,95,43.379,0.108,0.531,3,26,2.02,-0.978,0.153,2,215100,0.122,0.682,4,0.21,0.068,0,0.187,0.316,0.134,0.133,0.088,0,0.211,0.238,0.024,1,1,1,2,2,1,1,1,1,2,2,1,3651718.44140625,9235.94488934021
5238,48439,48439113940,102,7147,2294,753,10.536,1.104,0.873,5,402,17.524,0.665,0.767,4,204,8.893,-1.102,0.136,1,0,0,-0.782,0,1,72,2.05,0.249,0.802,5,11,0.48,-0.789,0.177,2,207,8.277,-0.289,0.463,4,801,11.207,0.137,-1.002,1,2401,33.595,-0.836,0.252,2,0,0,-0.226,0,1,0,0,-2.655,0,1,0,0,-0.596,0,1,12,0.168,-1.208,0.022,1,87,2.109,-1.023,0.107,1,102,2.763,-0.597,0.293,2,164,2.565,-0.509,0.419,3,96,34.286,-0.352,0.34,2,8,0.349,-1.122,0.078,1,266300,0.432,0.783,4,0.82,0.068,0.49,-0.038,0.224,0.354,0.895,0.088,0.637,0.034,0.114,0.246,5,1,4,1,1,2,5,1,4,1,1,2,7222978.32421875,12428.2730148345
5239,48439,48439111023,102,7132,2025,685,9.605,0.833,0.818,5,499,24.642,1.537,0.922,5,168,8.296,-1.153,0.125,1,0,0,-0.782,0,1,0,0,-0.456,0,1,10,0.494,-0.787,0.179,2,61,2.924,-0.859,0.163,2,1388,19.462,0.292,-0.669,2,6173,86.554,1.047,0.782,5,0,0,-0.226,0,1,420,20.134,-1.894,0.075,1,0,0,-0.596,0,1,602,8.441,-0.534,0.368,3,563,13.953,-0.181,0.539,4,16,0.39,-1.137,0.059,1,168,2.606,-0.505,0.424,3,301,75.439,1.732,0.963,5,44,2.173,-0.965,0.161,2,171500,-0.141,0.56,3,0.87,0.063,0.09,0.103,0.296,0.294,0.935,0.084,0.116,0.127,0.21,0.154,5,1,1,1,2,2,5,1,1,1,2,2,4125299.21875,9899.46577543072
5240,48439,48439121612,102,3121,1266,41,1.314,-1.573,0.043,1,88,6.951,-0.631,0.298,2,576,45.498,1.985,0.971,5,16,1.264,-0.444,0.428,3,0,0,-0.456,0,1,17,1.343,-0.652,0.287,2,71,5.31,-0.605,0.293,2,181,5.917,0.066,-1.215,1,1146,36.719,-0.725,0.287,2,62,1.987,-0.012,0.854,5,1174,87.809,0.667,0.677,3,187,13.987,0.538,0.794,5,447,14.613,-0.031,0.591,4,39,1.749,-1.048,0.09,1,70,4.214,-0.267,0.468,3,201,6.526,-0.058,0.659,4,49,76.563,1.788,0.967,5,91,7.188,-0.533,0.385,3,254400,0.36,0.764,4,0.171,0.7,0.144,0.326,0.401,0.357,0.098,0.749,0.18,0.396,0.361,0.252,1,5,2,3,3,2,1,5,2,3,3,2,6041913.59375,13287.7499281701
5241,48439,48439106525,102,2021,626,218,10.787,1.176,0.884,5,33,5.272,-0.837,0.217,1,63,10.064,-1.003,0.16,1,0,0,-0.782,0,1,0,0,-0.456,0,1,0,0,-0.865,0,1,55,8.076,-0.31,0.453,4,99,4.899,0.056,-1.256,1,962,47.6,-0.338,0.408,3,0,0,-0.226,0,1,21,3.084,-2.539,0.019,1,0,0,-0.596,0,1,21,1.039,-1.137,0.045,1,37,2.598,-0.988,0.133,1,0,0,-1.225,0,1,129,7.155,0.014,0.68,4,0,0,-2.088,0,1,0,0,-1.152,0,1,217600,0.138,0.688,4,0.551,0.08,0,-0.047,0.203,0.159,0.573,0.099,0,0.029,0.093,0.033,3,1,1,1,1,1,3,1,1,1,1,1,2072074.75,7842.39277310538
5242,48201,48201422000,9,2432,913,237,9.745,0.874,0.828,4,94,10.296,-0.221,0.478,2,301,32.968,0.928,0.831,5,0,0,-0.782,0,1,0,0,-0.456,0,1,18,1.972,-0.552,0.358,2,159,14.832,0.41,0.75,5,415,17.12,0.248,-0.763,1,910,37.418,-0.7,0.296,1,8,0.329,-0.191,0.715,5,1057,98.601,1.075,0.939,5,0,0,-0.596,0,1,53,2.186,-1.043,0.092,1,114,6.601,-0.703,0.295,2,62,5.277,-0.025,0.585,3,56,2.551,-0.511,0.418,2,57,38.514,-0.138,0.42,2,54,5.915,-0.643,0.332,2,344500,0.905,0.882,5,0.653,0.416,0.179,0.29,0.408,0.409,0.713,0.398,0.222,0.342,0.371,0.345,4,3,1,2,2,2,4,3,1,2,2,2,1943366.73828125,5573.83171108921
5243,48491,48491020406,27,6296,2810,405,6.433,-0.087,0.506,3,281,10,-0.257,0.463,4,267,9.502,-1.051,0.148,1,0,0,-0.782,0,1,22,0.522,-0.277,0.611,4,82,2.918,-0.402,0.45,4,791,21.966,1.17,0.893,5,4951,78.863,0.92,1.728,5,2263,35.943,-0.752,0.278,2,18,0.286,-0.196,0.705,4,2812,78.089,0.299,0.505,5,0,0,-0.596,0,1,422,6.703,-0.675,0.291,4,214,4.408,-0.859,0.209,3,124,2.851,-0.577,0.303,2,120,2.037,-0.57,0.368,3,1078,44.198,0.15,0.546,3,106,3.772,-0.827,0.245,3,331400,0.826,0.866,4,0.485,0.074,0.531,0.629,0.281,0.453,0.473,0.094,0.67,0.838,0.19,0.424,3,1,4,5,2,5,4,1,4,5,2,4,3729034.578125,12970.0866892055
5244,48491,48491020503,27,5826,2102,309,5.304,-0.415,0.36,3,89,4.234,-0.964,0.168,1,613,29.163,0.607,0.741,5,146,6.946,1.078,0.886,5,0,0,-0.456,0,1,268,12.75,1.158,0.885,5,130,5.824,-0.55,0.324,4,502,8.62,0.102,-1.106,1,1790,30.724,-0.938,0.219,2,2,0.034,-0.223,0.605,4,1774,79.48,0.352,0.525,5,0,0,-0.596,0,1,351,6.025,-0.73,0.259,3,164,3.87,-0.897,0.189,3,61,2.21,-0.722,0.226,2,131,2.374,-0.531,0.403,4,166,59.286,0.914,0.839,5,342,16.27,0.249,0.662,5,284800,0.544,0.815,3,0.264,0.814,0.443,0.118,0.37,0.419,0.187,0.876,0.575,0.139,0.317,0.362,2,5,4,3,4,4,2,5,3,2,3,3,20701233.953125,25784.4248889834
5245,48491,48491020602,27,5536,1629,225,4.064,-0.774,0.206,2,104,6.384,-0.7,0.272,2,247,15.163,-0.573,0.301,3,4,0.246,-0.717,0.253,3,8,0.274,-0.362,0.568,4,60,3.683,-0.281,0.523,4,87,5.07,-0.631,0.279,3,1916,34.61,0.563,-0.057,4,2762,49.892,-0.256,0.431,4,0,0,-0.226,0,1,1592,92.774,0.855,0.783,5,3,0.175,-0.582,0.448,4,363,6.557,-0.687,0.284,3,278,7.759,-0.621,0.34,4,248,7.738,0.535,0.779,5,469,8.831,0.205,0.727,5,159,36.054,-0.262,0.372,2,68,4.174,-0.793,0.262,4,248800,0.326,0.755,2,0.239,0.277,0.546,0.31,0.527,0.401,0.16,0.243,0.68,0.371,0.55,0.331,1,3,5,4,5,4,2,2,4,3,4,3,6239102.75,12884.6714377933
5246,48201,48201211600,9,3086,1164,223,7.226,0.143,0.602,3,118,10.137,-0.24,0.469,2,253,21.735,-0.019,0.515,4,74,6.357,0.92,0.868,5,120,8.276,2.389,0.97,5,239,20.533,2.393,0.968,5,130,10.046,-0.1,0.554,4,1573,50.972,0.764,0.603,4,2961,95.949,1.381,0.911,5,0,0,-0.226,0,1,1029,79.521,0.353,0.526,3,5,0.386,-0.565,0.461,4,693,22.456,0.608,0.774,4,727,35.343,1.34,0.879,5,42,2.703,-0.61,0.286,1,530,18.512,1.31,0.887,4,341,54.127,0.653,0.75,4,344,29.553,1.393,0.897,5,84700,-0.666,0.188,1,0.536,0.692,0.969,0.547,0.737,0.768,0.552,0.74,0.984,0.731,0.831,0.91,3,5,5,4,4,5,3,5,5,4,4,5,1569725.76953125,5145.94558761488
5247,48201,48201211700,9,3957,1269,265,6.697,-0.01,0.541,3,206,16.233,0.506,0.728,4,292,23.01,0.088,0.557,4,70,5.516,0.695,0.832,5,26,1.682,0.122,0.769,3,165,13.002,1.198,0.89,5,227,15.174,0.446,0.76,5,1811,45.825,0.711,0.395,3,3718,93.96,1.311,0.881,4,5,0.126,-0.213,0.64,4,1338,89.439,0.729,0.712,4,26,1.738,-0.455,0.566,4,1266,32.926,1.461,0.909,5,643,26.814,0.734,0.787,4,145,8.406,0.687,0.819,4,437,11.836,0.548,0.794,4,402,54.62,0.678,0.76,4,330,26.005,1.087,0.853,5,67400,-0.771,0.117,1,0.635,0.695,0.83,0.695,0.813,0.829,0.693,0.743,0.899,0.902,0.909,0.959,4,5,4,5,5,5,4,5,5,5,5,5,5924755.3515625,11573.7098551064
5248,48339,48339694207,9,709,384,0,0,-1.954,0,1,0,0,-1.483,0,1,110,28.646,0.564,0.727,4,0,0,-0.782,0,1,0,0,-0.456,0,1,0,0,-0.865,0,1,101,20.825,1.048,0.879,5,0,0,0,-1.454,1,0,0,-2.03,0,1,0,0,-0.226,0,1,220,45.361,-0.939,0.18,3,0,0,-0.596,0,1,0,0,-1.221,0,1,0,0,-1.173,0,1,0,0,-1.225,0,1,0,0,-0.802,0,1,0,0,-2.088,0,1,0,0,-1.152,0,1,187300,-0.046,0.612,2,0,0.364,0,-0.056,0,0.072,0,0.333,0,0.026,0,0.01,1,2,1,1,1,1,1,3,1,1,1,1,12872019.6679688,17841.7713826762
5249,48339,48339690404,9,6074,1815,422,6.948,0.062,0.571,3,240,13.223,0.138,0.611,4,228,12.562,-0.793,0.224,1,37,2.039,-0.236,0.54,4,12,0.431,-0.308,0.597,4,14,0.771,-0.743,0.214,2,0,0,-1.171,0,1,727,11.969,0.152,-0.971,2,1700,27.988,-1.035,0.194,3,0,0,-0.226,0,1,486,26.777,-1.642,0.097,2,162,8.926,0.127,0.732,3,225,3.751,-0.916,0.166,2,226,6.481,-0.712,0.29,3,96,3.323,-0.469,0.363,3,157,2.778,-0.485,0.44,3,77,33.772,-0.378,0.33,3,14,0.771,-1.086,0.096,2,232100,0.225,0.719,3,0.591,0.382,0.406,0.031,0.297,0.359,0.631,0.354,0.521,0.077,0.212,0.255,4,3,4,2,3,3,4,3,3,1,2,2,16973136.3125,18973.2556469959
5250,48339,48339694002,9,9149,2709,999,10.919,1.215,0.892,5,374,13.806,0.209,0.635,4,480,17.719,-0.358,0.382,2,43,1.587,-0.357,0.478,4,14,0.363,-0.331,0.582,4,22,0.812,-0.736,0.221,2,266,8.941,-0.218,0.499,3,2391,26.134,0.422,-0.399,3,3679,40.212,-0.6,0.332,4,0,0,-0.226,0,1,2009,67.529,-0.1,0.354,4,1379,46.353,3.16,0.98,5,2540,27.763,1.041,0.846,5,807,15.567,-0.066,0.583,4,589,13.209,1.78,0.947,5,570,6.994,-0.004,0.674,5,55,7.971,-1.684,0.068,1,146,5.389,-0.688,0.31,3,113400,-0.493,0.317,1,0.764,0.43,0.402,0.373,0.629,0.586,0.843,0.416,0.514,0.464,0.693,0.654,5,3,4,4,5,5,5,3,3,3,4,4,106749567.40625,55415.4487337493
5251,48339,48339694106,9,4700,1452,477,10.149,0.991,0.851,5,253,17.424,0.652,0.763,5,471,32.438,0.883,0.82,5,81,5.579,0.712,0.836,5,0,0,-0.456,0,1,51,3.512,-0.308,0.506,4,94,6.08,-0.523,0.338,3,1046,22.255,0.347,-0.556,3,2982,63.447,0.226,0.564,5,0,0,-0.226,0,1,865,55.951,-0.538,0.245,3,249,16.106,0.709,0.815,4,1783,37.936,1.869,0.946,5,643,22.373,0.418,0.718,5,105,5.387,0,0.596,4,536,12.692,0.646,0.808,5,147,68.056,1.358,0.93,5,211,14.532,0.099,0.615,5,155000,-0.241,0.485,2,0.807,0.828,0.253,0.336,0.684,0.651,0.883,0.893,0.305,0.41,0.765,0.759,5,5,2,4,5,5,5,5,2,3,4,4,30981553.0625,30305.2469701145
5252,48339,48339692501,9,5206,1638,410,7.876,0.332,0.671,4,221,13.492,0.171,0.623,4,324,19.78,-0.184,0.449,3,67,4.09,0.313,0.752,5,0,0,-0.456,0,1,76,4.64,-0.129,0.594,4,328,16.684,0.607,0.802,5,1471,28.256,0.46,-0.314,4,2940,56.473,-0.022,0.499,5,0,0,-0.226,0,1,1349,68.616,-0.059,0.369,4,1205,61.292,4.371,0.996,5,974,18.774,0.308,0.699,5,1056,32.127,1.111,0.85,5,116,4.382,-0.228,0.49,3,604,12.594,0.635,0.807,5,148,35.577,-0.287,0.364,3,236,14.408,0.089,0.612,5,97400,-0.589,0.251,1,0.647,0.601,0.297,0.436,0.69,0.608,0.708,0.627,0.362,0.568,0.775,0.692,4,4,3,5,5,5,4,4,2,3,4,4,48468076.890625,32941.31155948
5253,48339,48339692605,9,4339,1388,300,6.914,0.053,0.569,3,295,21.254,1.122,0.863,5,148,10.663,-0.953,0.174,1,0,0,-0.782,0,1,0,0,-0.456,0,1,0,0,-0.865,0,1,212,13.25,0.241,0.698,4,1586,36.552,0.59,0.021,4,2389,55.059,-0.073,0.485,5,0,0,-0.226,0,1,903,56.438,-0.52,0.249,3,810,50.625,3.506,0.987,5,733,16.893,0.155,0.653,5,544,24.549,0.573,0.754,5,134,5.463,0.017,0.603,4,262,6.487,-0.062,0.657,4,233,33.768,-0.378,0.33,3,32,2.305,-0.954,0.168,2,119500,-0.456,0.348,1,0.716,0.087,0,0.442,0.546,0.41,0.789,0.104,0,0.577,0.581,0.347,5,1,1,5,4,3,4,1,1,3,3,2,10541390.9257812,18117.334508915
5254,48339,48339693901,9,3281,1149,391,11.917,1.504,0.929,5,144,12.533,0.053,0.585,4,347,30.2,0.695,0.766,4,58,5.048,0.57,0.811,5,0,0,-0.456,0,1,124,10.792,0.847,0.844,5,161,12.29,0.139,0.661,4,1108,33.77,0.55,-0.091,4,1458,44.438,-0.45,0.377,4,0,0,-0.226,0,1,680,51.908,-0.691,0.217,3,141,10.763,0.276,0.758,4,442,13.617,-0.112,0.561,4,385,19.107,0.186,0.66,4,70,5.102,-0.065,0.566,4,202,6.99,-0.005,0.674,4,375,70.356,1.474,0.942,5,207,18.016,0.399,0.705,5,185300,-0.058,0.605,2,0.757,0.789,0.422,0.355,0.651,0.677,0.834,0.852,0.543,0.436,0.721,0.796,5,5,4,4,5,5,5,5,3,3,4,4,40506860.0546875,39545.2251361559
5255,48339,48339694105,9,5199,1688,135,2.597,-1.2,0.094,1,183,10.841,-0.154,0.503,4,515,30.509,0.721,0.774,5,30,1.777,-0.306,0.506,4,0,0,-0.456,0,1,30,1.777,-0.583,0.334,3,150,8.161,-0.301,0.457,3,1731,33.941,0.553,-0.084,4,2488,47.855,-0.329,0.411,4,99,1.904,-0.021,0.849,5,1547,84.168,0.529,0.608,5,696,37.867,2.473,0.965,5,583,11.431,-0.29,0.484,4,894,23.961,0.531,0.745,5,229,8.58,0.727,0.829,5,437,8.63,0.182,0.723,5,205,35.965,-0.267,0.37,3,197,11.671,-0.147,0.53,4,92400,-0.62,0.228,1,0.299,0.64,0.167,0.527,0.707,0.521,0.222,0.676,0.207,0.702,0.796,0.547,2,4,2,5,5,5,2,4,1,4,4,3,22413379.9960938,30366.8707050428
5256,48339,48339694001,9,5005,1673,170,3.397,-0.968,0.145,1,177,10.58,-0.186,0.491,4,203,12.134,-0.829,0.212,1,3,0.179,-0.734,0.249,2,0,0,-0.456,0,1,19,1.136,-0.685,0.261,2,99,5.587,-0.576,0.31,2,713,14.246,0.193,-0.879,2,1296,25.894,-1.109,0.171,2,0,0,-0.226,0,1,990,55.869,-0.542,0.244,3,410,23.138,1.279,0.883,4,373,7.459,-0.614,0.326,3,536,16.482,-0.001,0.604,4,27,1.007,-0.996,0.101,1,66,1.365,-0.646,0.294,3,25,17.606,-1.197,0.121,2,73,4.363,-0.776,0.269,3,178300,-0.1,0.582,2,0.318,0.231,0.131,0.151,0.317,0.205,0.244,0.203,0.164,0.173,0.239,0.061,2,2,2,2,3,1,2,2,1,2,2,1,62165232.609375,32981.1246430778
